id,name,sex,age,origin,homeland,medium,real_name,time,time_zwei,time_drei,time_vier,time_fünf,time_sechs,time_sieben
Thrain II,König Thrain Sohn des Thror,2,5,5,2,3,Thrain II,99,99,1,1,1,1,1
Wirt Butterblume,Gerstenmann Butterblume,2,2,4,11,2,Wirt Butterblume,99,99,99,99,1,1,1
Belladonna Beutlin,Belladonna Beutlin,1,2,1,1,2,Belladonna Beutlin,1,1,1,1,1,1,1
Betsy,Betsy Butterblume,1,99,4,11,2,Betsy,99,99,99,99,1,1,1
Frodo,Frodo Beutlin,2,1,1,1,2,Frodo,1,1,1,1,1,1,1
Tosser,Tosser Grubb,2,3,1,1,2,Tosser,99,99,99,99,99,99,99
Moria Krieg,Moria Krieg,99,99,99,99,99,99,99,99,99,99,99,99,99
Bruchtal,Bruchtal,99,99,99,99,99,99,99,99,99,99,99,99,99
Düsterwald inkl. Waldelbenfestung,Düsterwald inkl. Waldelbenfestung,99,99,99,99,99,99,99,99,99,99,99,99,99
Seestadt,Seestadt,99,99,99,99,99,99,99,99,99,99,99,99,99
Dol Goldur,Dol Goldur,99,99,99,99,99,99,99,99,99,99,99,99,99
Auenland Ende,Auenland Ende,99,99,99,99,99,99,99,99,99,99,99,99,99
